MovieID,Title,Genres,Language,Country,Total Views,YEAR
1,Toy Story (1995),Animation|Children's|Comedy,German,Italy,69118,1995
2,Jumanji (1995),Adventure|Children's|Fantasy,Spanish,UK,1661,1995
3,Grumpier Old Men (1995),Comedy|Romance,English,India,22205,1995
4,Waiting to Exhale (1995),Comedy|Drama,Spanish,India,84783,1995
5,Father of the Bride Part II (1995),Comedy,German,India,61291,1995
6,Heat (1995),Action|Crime|Thriller,English,Canada,40658,1995
7,Sabrina (1995),Comedy|Romance,German,France,63623,1995
8,Tom and Huck (1995),Adventure|Children's,French,India,50355,1995
9,Sudden Death (1995),Action,Spanish,UK,3943,1995
10,GoldenEye (1995),Action|Adventure|Thriller,Spanish,Canada,74950,1995
11,"American President, The (1995)",Comedy|Drama|Romance,French,France,79317,1995
12,Dracula: Dead and Loving It (1995),Comedy|Horror,German,France,59858,1995
13,Balto (1995),Animation|Children's,Italian,UK,39370,1995
14,Nixon (1995),Drama,Spanish,UK,98502,1995
15,Cutthroat Island (1995),Action|Adventure|Romance,Spanish,India,41754,1995
16,Casino (1995),Drama|Thriller,German,France,4961,1995
17,Sense and Sensibility (1995),Drama|Romance,Italian,France,91178,1995
18,Four Rooms (1995),Thriller,German,Canada,15056,1995
19,Ace Ventura: When Nature Calls (1995),Comedy,Spanish,USA,58261,1995
20,Money Train (1995),Action,German,UK,13604,1995
21,Get Shorty (1995),Action|Comedy|Drama,German,India,90108,1995
22,Copycat (1995),Crime|Drama|Thriller,Italian,France,37070,1995
23,Assassins (1995),Thriller,English,Italy,25385,1995
24,Powder (1995),Drama|Sci-Fi,French,USA,11556,1995
25,Leaving Las Vegas (1995),Drama|Romance,French,Italy,3607,1995
26,Othello (1995),Drama,Italian,Italy,33580,1995
27,Now and Then (1995),Drama,Spanish,India,95762,1995
28,Persuasion (1995),Romance,English,Canada,66047,1995
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,Italian,India,20596,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,English,France,10068,1995
31,Dangerous Minds (1995),Drama,Spanish,Italy,8564,1995
32,Twelve Monkeys (1995),Drama|Sci-Fi,Italian,France,1838,1995
33,Wings of Courage (1995),Adventure|Romance,English,Italy,94496,1995
34,Babe (1995),Children's|Comedy|Drama,Italian,Canada,62835,1995
35,Carrington (1995),Drama|Romance,Italian,Italy,85634,1995
36,Dead Man Walking (1995),Drama,French,UK,6664,1995
37,Across the Sea of Time (1995),Documentary,Italian,France,96231,1995
38,It Takes Two (1995),Comedy,Italian,Canada,42456,1995
39,Clueless (1995),Comedy|Romance,Spanish,India,17636,1995
40,"Cry, the Beloved Country (1995)",Drama,Spanish,France,56407,1995
41,Richard III (1995),Drama|War,Italian,USA,22916,1995
42,Dead Presidents (1995),Action|Crime|Drama,French,Italy,80657,1995
43,Restoration (1995),Drama,English,Italy,59361,1995
44,Mortal Kombat (1995),Action|Adventure,Spanish,UK,55503,1995
45,To Die For (1995),Comedy|Drama,German,Italy,9861,1995
46,How to Make an American Quilt (1995),Drama|Romance,German,Canada,24155,1995
47,Seven (Se7en) (1995),Crime|Thriller,Spanish,Italy,44918,1995
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Italian,Italy,89436,1995
49,When Night Is Falling (1995),Drama|Romance,French,India,92016,1995
50,"Usual Suspects, The (1995)",Crime|Thriller,Italian,India,86782,1995
51,Guardian Angel (1994),Action|Drama|Thriller,English,India,86868,1994
52,Mighty Aphrodite (1995),Comedy,German,Italy,16459,1995
53,Lamerica (1994),Drama,Spanish,Canada,11033,1994
