RatingID,UserID,MovieID,Rating,Date,Time
1,SF_2741,3713,4.1,1/02/2024,4:32:50 AM
2,SF_3082,2052,3.1,24/02/2024,4:32:50 AM
3,SF_53,3267,4.0,12/11/2024,4:32:50 AM
4,SF_182,2517,2.4,28/09/2024,4:32:50 AM
5,SF_631,2996,3.1,4/10/2024,4:32:50 AM
6,SF_2261,1184,3.9,28/05/2024,4:32:50 AM
7,SF_1291,2425,2.8,24/12/2023,4:32:50 AM
8,SF_5002,3326,4.5,5/03/2024,4:32:50 AM
9,SF_693,1375,1.9,5/12/2024,4:32:50 AM
10,SF_3684,1987,3.2,16/07/2024,4:32:50 AM
11,SF_1503,127,4.6,22/01/2024,4:32:50 AM
12,SF_1907,1138,1.2,4/02/2024,4:32:50 AM
13,SF_3649,734,4.6,26/11/2024,4:32:50 AM
14,SF_4824,309,2.4,24/02/2024,4:32:50 AM
15,SF_2147,2493,2.7,21/09/2024,4:32:50 AM
16,SF_2215,2912,2.0,23/04/2024,4:32:50 AM
17,SF_6005,2983,2.8,11/04/2024,4:32:50 AM
18,SF_601,2720,2.7,11/07/2024,4:32:50 AM
19,SF_841,2955,4.1,25/08/2024,4:32:50 AM
20,SF_1504,2351,2.7,3/12/2024,4:32:50 AM
21,SF_3288,2853,4.8,6/02/2024,4:32:50 AM
22,SF_1839,1509,2.0,28/06/2024,4:32:50 AM
23,SF_5276,1938,3.0,12/10/2024,4:32:50 AM
24,SF_5097,3635,4.0,16/04/2024,4:32:50 AM
25,SF_363,22,2.4,7/08/2024,4:32:50 AM
26,SF_2617,1029,3.7,28/02/2024,4:32:50 AM
27,SF_2919,1493,2.8,10/06/2024,4:32:50 AM
28,SF_2814,3611,4.5,15/06/2024,4:32:50 AM
29,SF_6003,1516,1.4,6/02/2024,4:32:50 AM
30,SF_1217,2344,1.8,23/04/2024,4:32:50 AM
31,SF_3810,1811,1.9,22/10/2024,4:32:50 AM
32,SF_824,1103,2.7,13/03/2024,4:32:50 AM
33,SF_3607,3444,4.1,20/03/2024,4:32:50 AM
34,SF_2407,3915,1.4,20/12/2023,4:32:50 AM
35,SF_4940,3056,1.6,29/01/2024,4:32:50 AM
36,SF_4687,621,3.5,9/02/2024,4:32:50 AM
37,SF_5658,1830,3.9,18/12/2023,4:32:50 AM
38,SF_1057,2495,3.7,11/02/2024,4:32:50 AM
39,SF_3111,2700,5.0,30/11/2024,4:32:50 AM
40,SF_4739,1279,4.8,19/11/2024,4:32:50 AM
41,SF_3584,549,4.5,18/02/2024,4:32:50 AM
42,SF_2134,2970,1.8,13/04/2024,4:32:50 AM
43,SF_2947,705,3.0,16/01/2024,4:32:50 AM
44,SF_1438,2216,1.8,3/06/2024,4:32:50 AM
45,SF_908,3810,2.1,21/01/2024,4:32:50 AM
46,SF_2324,1921,1.9,2/09/2024,4:32:50 AM
47,SF_3982,2169,4.4,13/05/2024,4:32:50 AM
48,SF_3232,1300,3.7,26/08/2024,4:32:50 AM
49,SF_4139,3420,2.7,24/01/2024,4:32:50 AM
50,SF_433,1939,3.9,25/09/2024,4:32:50 AM
51,SF_1415,3626,4.1,26/10/2024,4:32:50 AM
52,SF_4205,3446,1.4,25/03/2024,4:32:50 AM
53,SF_3989,2322,4.3,27/06/2024,4:32:50 AM
54,SF_43,255,3.1,18/04/2024,4:32:50 AM
55,SF_4775,1598,2.1,24/03/2024,4:32:50 AM
56,SF_5658,311,3.6,16/12/2023,4:32:50 AM
57,SF_4546,1665,2.9,17/03/2024,4:32:50 AM
58,SF_3318,1825,4.9,22/06/2024,4:32:50 AM
59,SF_5596,277,4.4,21/01/2024,4:32:50 AM
60,SF_28,3540,3.3,27/04/2024,4:32:50 AM
61,SF_5775,3895,1.5,10/03/2024,4:32:50 AM
62,SF_2588,957,2.6,10/01/2024,4:32:50 AM
63,SF_1122,2317,4.8,15/04/2024,4:32:50 AM
64,SF_5355,872,3.1,29/08/2024,4:32:50 AM
65,SF_4719,1175,4.3,8/07/2024,4:32:50 AM
66,SF_5573,1455,2.6,7/09/2024,4:32:50 AM
67,SF_5321,1179,3.3,21/01/2024,4:32:50 AM
68,SF_449,3891,2.1,29/01/2024,4:32:50 AM
69,SF_5297,1595,3.8,7/11/2024,4:32:50 AM
70,SF_3634,1035,2.5,16/04/2024,4:32:50 AM
