UserID,Age,Gender,Country,SubscriptionStatus,TotalWatchTime,Device
SF_1,11,F,India,Free,231,Mobile
SF_2,13,M,USA,Subscriber,377,Smart TV
SF_3,24,M,Italy,Free,352,Mobile
SF_4,37,M,USA,Subscriber,398,Desktop
SF_5,15,M,UK,Subscriber,292,Mobile
SF_6,36,F,India,Subscriber,486,Desktop
SF_7,24,M,Canada,Free,17,Smart TV
SF_8,28,M,USA,Subscriber,26,Smart TV
SF_9,11,M,France,Subscriber,385,Smart TV
SF_10,65,F,Italy,Free,458,Mobile
SF_11,60,F,India,Free,145,Smart TV
SF_12,31,M,Italy,Free,253,Desktop
SF_13,13,M,France,Free,347,Desktop
SF_14,14,M,India,Subscriber,465,Tablet
SF_15,37,M,France,Free,459,Mobile
SF_16,43,F,USA,Subscriber,36,Tablet
SF_17,46,M,UK,Free,78,Desktop
SF_18,26,F,France,Subscriber,65,Smart TV
SF_19,32,M,Italy,Subscriber,14,Tablet
SF_20,37,M,France,Free,326,Tablet
SF_21,31,M,UK,Free,91,Tablet
SF_22,45,M,France,Free,424,Mobile
SF_23,19,M,USA,Free,138,Desktop
SF_24,43,F,France,Subscriber,151,Tablet
SF_25,16,M,UK,Subscriber,384,Desktop
SF_26,30,M,Italy,Free,237,Tablet
SF_27,51,M,France,Subscriber,438,Tablet
SF_28,26,F,UK,Free,405,Desktop
SF_29,24,M,USA,Free,198,Smart TV
SF_30,56,F,India,Free,279,Desktop
SF_31,18,M,Italy,Free,184,Tablet
SF_32,25,F,UK,Free,245,Desktop
SF_33,16,M,Canada,Free,121,Tablet
SF_34,14,F,UK,Subscriber,380,Mobile
SF_35,17,M,UK,Subscriber,72,Desktop
SF_36,19,M,India,Free,467,Desktop
SF_37,36,F,USA,Free,96,Mobile
SF_38,14,F,Italy,Free,248,Tablet
SF_39,39,M,Italy,Free,443,Tablet
SF_40,50,M,USA,Free,415,Mobile
SF_41,45,F,France,Subscriber,319,Tablet
SF_42,14,M,Canada,Free,190,Tablet
SF_43,50,M,UK,Free,490,Smart TV
SF_44,64,M,India,Subscriber,242,Desktop
SF_45,22,F,France,Free,418,Tablet
SF_46,24,M,Italy,Subscriber,133,Desktop
SF_47,35,M,India,Free,278,Smart TV
SF_48,25,M,Canada,Free,257,Tablet
SF_49,65,M,USA,Subscriber,61,Desktop
SF_50,32,F,Italy,Free,14,Mobile
SF_51,52,F,USA,Subscriber,471,Mobile
SF_52,28,M,USA,Subscriber,284,Desktop
SF_53,16,M,Italy,Free,54,Tablet
SF_54,65,M,France,Subscriber,370,Tablet
SF_55,58,F,Canada,Free,479,Desktop
SF_56,20,M,France,Free,385,Mobile
SF_57,41,M,Italy,Free,96,Tablet
SF_58,41,M,India,Free,356,Smart TV
SF_59,29,F,USA,Free,108,Mobile
SF_60,29,M,India,Subscriber,491,Mobile
SF_61,39,M,UK,Subscriber,362,Tablet
SF_62,34,F,UK,Free,60,Smart TV
SF_63,59,M,USA,Subscriber,496,Tablet
SF_64,27,M,France,Free,182,Smart TV
SF_65,45,M,Italy,Subscriber,485,Smart TV
SF_66,28,M,Italy,Subscriber,41,Desktop
SF_67,14,F,Canada,Free,317,Tablet
SF_68,20,M,India,Subscriber,279,Desktop
SF_69,57,F,USA,Subscriber,122,Mobile
SF_70,46,M,Canada,Free,67,Tablet
SF_71,41,M,USA,Free,313,Smart TV
SF_72,57,F,Canada,Free,210,Tablet
SF_73,25,M,UK,Subscriber,220,Mobile
SF_74,39,M,Italy,Subscriber,120,Mobile
SF_75,16,F,UK,Subscriber,59,Tablet
SF_76,11,M,Italy,Subscriber,377,Tablet
SF_77,23,M,India,Free,269,Tablet
SF_78,47,F,France,Subscriber,485,Tablet
SF_79,63,F,Canada,Subscriber,257,Smart TV
SF_80,28,M,USA,Subscriber,322,Smart TV
SF_81,39,F,Italy,Subscriber,492,Desktop
SF_82,25,M,France,Subscriber,499,Tablet
SF_83,40,F,USA,Subscriber,50,Tablet
SF_84,31,M,Italy,Subscriber,193,Smart TV
SF_85,13,M,USA,Free,26,Mobile
SF_86,26,F,USA,Free,376,Desktop
SF_87,26,M,France,Free,116,Smart TV
SF_88,65,F,Italy,Free,173,Desktop
SF_89,59,F,Canada,Free,153,Tablet
SF_90,59,M,India,Subscriber,51,Mobile
SF_91,39,M,Italy,Subscriber,64,Tablet
SF_92,62,F,France,Subscriber,392,Desktop
SF_93,37,M,Italy,Free,293,Desktop
SF_94,36,M,Canada,Subscriber,59,Smart TV
SF_95,43,M,USA,Subscriber,37,Smart TV
SF_96,15,F,UK,Free,116,Smart TV
SF_97,56,F,India,Free,463,Smart TV
SF_98,48,F,Italy,Subscriber,336,Smart TV
SF_99,23,F,India,Subscriber,380,Mobile
SF_100,39,M,Italy,Subscriber,292,Desktop
SF_101,36,F,India,Free,177,Tablet
SF_102,57,M,France,Free,221,Tablet
SF_103,48,M,France,Subscriber,500,Desktop
SF_104,56,M,Italy,Free,224,Smart TV
SF_105,32,M,Canada,Free,302,Mobile
SF_106,14,F,Canada,Free,301,Smart TV
SF_107,53,M,Canada,Subscriber,293,Smart TV
SF_108,36,M,Canada,Subscriber,418,Desktop
SF_109,64,M,India,Free,323,Smart TV
SF_110,40,M,France,Free,296,Mobile
SF_111,20,M,Canada,Subscriber,453,Smart TV
SF_112,24,M,UK,Free,90,Tablet
SF_113,12,M,USA,Free,33,Smart TV
SF_114,38,F,UK,Subscriber,189,Mobile
SF_115,33,M,India,Free,175,Smart TV
SF_116,26,M,Italy,Free,32,Smart TV
SF_117,35,M,Italy,Free,412,Mobile
SF_118,51,M,UK,Subscriber,255,Mobile
SF_119,18,F,India,Subscriber,461,Mobile
SF_120,37,M,France,Subscriber,398,Mobile
SF_121,53,M,UK,Free,325,Mobile
SF_122,41,F,UK,Subscriber,92,Tablet
SF_123,41,M,France,Free,342,Mobile
SF_124,40,M,India,Free,327,Mobile
SF_125,60,M,Italy,Subscriber,392,Smart TV
SF_126,16,M,UK,Free,264,Tablet
SF_127,60,F,USA,Free,32,Mobile
SF_128,59,M,UK,Subscriber,186,Desktop
SF_129,54,M,UK,Subscriber,212,Smart TV
SF_130,40,M,Canada,Free,126,Desktop
SF_131,56,M,India,Subscriber,454,Mobile
SF_132,63,M,India,Free,360,Smart TV
SF_133,24,F,USA,Subscriber,186,Tablet
SF_134,50,M,Italy,Subscriber,135,Mobile
SF_135,9,M,France,Subscriber,15,Smart TV
SF_136,37,M,Canada,Free,140,Desktop
SF_137,27,F,UK,Free,420,Mobile
SF_138,59,M,France,Free,348,Smart TV
SF_139,62,F,UK,Free,210,Desktop
SF_140,25,F,Canada,Subscriber,466,Tablet
SF_141,42,M,India,Free,368,Tablet
SF_142,58,M,India,Subscriber,122,Smart TV
SF_143,26,M,France,Free,259,Desktop
SF_144,15,M,USA,Subscriber,465,Tablet
SF_145,62,M,France,Subscriber,238,Mobile
SF_146,45,F,Italy,Subscriber,430,Mobile
SF_147,27,M,UK,Free,379,Smart TV
SF_148,29,M,France,Free,112,Desktop
SF_149,64,M,Italy,Subscriber,183,Smart TV
SF_150,33,M,India,Free,315,Tablet
SF_151,25,F,France,Free,116,Tablet
SF_152,54,M,Italy,Subscriber,138,Smart TV
SF_153,54,M,Italy,Free,458,Mobile
SF_154,49,M,Canada,Subscriber,344,Desktop
SF_155,46,M,Canada,Subscriber,202,Tablet
SF_156,29,F,UK,Subscriber,281,Smart TV
SF_157,42,M,Canada,Free,89,Tablet
SF_158,61,M,UK,Free,75,Desktop
SF_159,49,F,Canada,Subscriber,82,Mobile
SF_160,48,M,UK,Subscriber,440,Mobile
SF_161,63,M,Canada,Free,464,Mobile
SF_162,9,F,USA,Free,292,Mobile
SF_163,23,M,Canada,Subscriber,158,Mobile
SF_164,43,F,USA,Subscriber,167,Tablet
SF_165,33,M,India,Free,185,Smart TV
SF_166,37,M,Canada,Subscriber,136,Desktop
SF_167,44,F,Italy,Free,191,Desktop
SF_168,38,F,USA,Free,460,Smart TV
SF_169,26,M,Canada,Free,480,Tablet
SF_170,50,M,Canada,Subscriber,444,Mobile
SF_171,28,F,Canada,Free,280,Smart TV
SF_172,40,M,UK,Free,312,Desktop
SF_173,42,M,India,Subscriber,360,Smart TV
SF_174,19,M,Italy,Subscriber,70,Smart TV
SF_175,51,F,UK,Subscriber,478,Tablet
SF_176,11,F,India,Free,108,Desktop
SF_177,15,M,Italy,Subscriber,223,Smart TV
SF_178,46,M,France,Subscriber,137,Mobile
SF_179,53,M,UK,Subscriber,309,Desktop
SF_180,52,M,France,Subscriber,455,Desktop
SF_181,17,M,USA,Subscriber,397,Smart TV
SF_182,14,M,India,Free,236,Smart TV
SF_183,57,F,Italy,Subscriber,240,Mobile
SF_184,23,F,France,Subscriber,131,Smart TV
SF_185,16,M,Italy,Subscriber,342,Tablet
SF_186,17,M,UK,Subscriber,341,Desktop
SF_187,24,F,France,Free,361,Tablet
SF_188,62,M,UK,Free,64,Desktop
SF_189,11,M,France,Subscriber,145,Tablet
SF_190,55,M,France,Free,288,Smart TV
SF_191,36,M,France,Free,14,Tablet
SF_192,57,M,UK,Free,217,Smart TV
SF_193,24,F,France,Free,93,Mobile
SF_194,49,F,Italy,Subscriber,404,Desktop
SF_195,16,M,Italy,Subscriber,124,Desktop
SF_196,40,F,Canada,Free,50,Tablet
SF_197,39,M,Italy,Free,288,Desktop
SF_198,61,M,Canada,Subscriber,469,Desktop
SF_199,63,M,France,Subscriber,220,Smart TV
SF_200,36,F,UK,Free,197,Mobile
SF_201,46,F,India,Subscriber,275,Tablet
SF_202,36,M,Italy,Free,150,Smart TV
SF_203,41,F,Canada,Subscriber,487,Desktop
SF_204,45,M,Canada,Free,218,Desktop
SF_205,13,M,Italy,Free,159,Smart TV
SF_206,61,M,France,Free,179,Smart TV
SF_207,54,M,USA,Subscriber,340,Smart TV
SF_208,13,M,Canada,Subscriber,256,Smart TV
SF_209,16,M,Italy,Subscriber,222,Tablet
SF_210,55,F,USA,Subscriber,199,Tablet
SF_211,26,M,India,Subscriber,458,Desktop
SF_212,45,M,Italy,Subscriber,250,Desktop
SF_213,37,F,USA,Subscriber,137,Tablet
SF_214,51,M,Italy,Free,61,Smart TV
SF_215,41,M,USA,Free,338,Mobile
SF_216,9,M,India,Subscriber,282,Mobile
SF_217,43,M,France,Subscriber,24,Mobile
SF_218,26,M,UK,Subscriber,458,Smart TV
SF_219,32,F,France,Free,353,Tablet
SF_220,21,M,India,Subscriber,249,Mobile
SF_221,40,F,France,Free,272,Desktop
SF_222,35,M,Italy,Subscriber,202,Smart TV
SF_223,44,M,Italy,Free,293,Desktop
SF_224,44,F,France,Subscriber,216,Tablet
SF_225,11,M,India,Free,286,Desktop
SF_226,55,M,Canada,Subscriber,403,Smart TV
SF_227,45,M,Canada,Subscriber,413,Tablet
SF_228,51,M,USA,Subscriber,227,Tablet
SF_229,37,M,Canada,Subscriber,455,Mobile
SF_230,64,M,Italy,Subscriber,443,Tablet
SF_231,60,M,Canada,Subscriber,494,Mobile
SF_232,40,M,France,Subscriber,337,Tablet
SF_233,13,F,Canada,Free,83,Desktop
SF_234,59,M,USA,Subscriber,350,Smart TV
SF_235,17,M,USA,Free,136,Smart TV
SF_236,41,M,USA,Free,258,Mobile
SF_237,64,M,Canada,Subscriber,471,Desktop
SF_238,24,F,Italy,Subscriber,161,Mobile
SF_239,58,M,Italy,Subscriber,77,Tablet
SF_240,24,M,USA,Free,301,Smart TV
SF_241,54,M,UK,Subscriber,35,Mobile
SF_242,58,F,UK,Subscriber,255,Smart TV
SF_243,59,M,Canada,Free,255,Tablet
SF_244,48,M,USA,Subscriber,219,Mobile
SF_245,54,M,France,Free,293,Desktop
SF_246,25,F,Canada,Free,454,Mobile
SF_247,34,M,France,Free,120,Smart TV
SF_248,64,M,Canada,Free,68,Mobile
SF_249,17,F,Italy,Free,366,Desktop
SF_250,39,M,Italy,Free,458,Smart TV
SF_251,62,M,France,Free,350,Tablet
SF_252,39,M,India,Free,79,Tablet
SF_253,46,F,Canada,Subscriber,146,Mobile
SF_254,33,M,USA,Subscriber,386,Desktop
SF_255,41,M,Canada,Free,373,Desktop
SF_256,36,M,UK,Subscriber,372,Desktop
SF_257,18,M,USA,Free,377,Smart TV
SF_258,40,M,UK,Free,343,Desktop
SF_259,12,M,Canada,Free,343,Smart TV
SF_260,20,M,USA,Free,78,Desktop
SF_261,36,M,India,Free,105,Tablet
SF_262,10,F,USA,Free,332,Tablet
SF_263,27,F,USA,Subscriber,421,Desktop
SF_264,51,M,France,Free,277,Mobile
SF_265,33,F,France,Free,294,Mobile
SF_266,62,M,Canada,Free,58,Smart TV
SF_267,42,M,Italy,Free,323,Tablet
SF_268,9,F,Italy,Subscriber,376,Tablet
SF_269,49,M,USA,Subscriber,80,Mobile
SF_270,40,M,India,Free,458,Desktop
SF_271,55,M,UK,Subscriber,143,Tablet
SF_272,57,M,USA,Subscriber,408,Mobile
SF_273,17,M,USA,Subscriber,101,Smart TV
SF_274,22,M,UK,Subscriber,404,Tablet
SF_275,33,M,USA,Free,336,Smart TV
SF_276,41,M,Italy,Free,76,Smart TV
SF_277,19,F,Canada,Free,156,Smart TV
SF_278,63,M,France,Free,10,Tablet
SF_279,64,M,India,Free,284,Desktop
